product_name,website,product_price,image1,image2,image3,description,product_url
Orangen,lidl.ch,1.95,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80135_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/13690/s/orangen-0080135/category/64/
Mango,lidl.ch,1.49,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80711_OGFG.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/12928/s/mango-0080711/category/64/
Bio Kiwi grün,lidl.ch,2.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/1/81676_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12921/s/bio-kiwi-gruen-0081676/category/64/
Bio Avocado,lidl.ch,1.39,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/1/81671_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12919/s/bio-avocado-0081671/category/64/
Physalis,lidl.ch,1.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80735_OGFG_2.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12913/s/physalis-0080735/category/64/
Papaya,lidl.ch,2.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80725_OGFG_1.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12911/s/papaya-0080725/category/64/
Kiwi Gold,lidl.ch,2.19,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80690_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12906/s/kiwi-gold-0080690/category/64/
Kiwi,lidl.ch,0.65,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80676_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12905/s/kiwi-0080676/category/64/
Kaki,lidl.ch,0.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80656_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12902/s/kaki-0080656/category/64/
Avocado,lidl.ch,1.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80619_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12896/s/avocado-0080619/category/64/
Grapefruit,lidl.ch,0.59,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80041_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12893/s/grapefruit-0080041/category/64/
Mandarinen,lidl.ch,2.49,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80085_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12891/s/mandarinen-0080085/category/64/
Bio Zitronen,lidl.ch,1.49,,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12890/s/bio-zitronen-0081540/category/64/
Bio Zitronen,lidl.ch,0.45,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/1/81536_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12889/s/bio-zitronen-0081536/category/64/
Bio Orangen,lidl.ch,1.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/1/81532_PSXX.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12888/s/bio-orangen-0081532/category/64/
Zitrone,lidl.ch,0.39,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80161_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12885/s/zitrone-0080161/category/64/
Orangen,lidl.ch,2.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80142_OGAX.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12882/s/orangen-0080142/category/64/
Bio Heidelbeeren,lidl.ch,1.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/1/81685_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12866/s/bio-heidelbeeren-0081685/category/64/
